time_s,dP_Pa,FeO2_pct,FiO2_pct,P_amb_hPa,T_amb_C,VE_Lmin,VO2_abs_Lmin,VO2_rel_mlminkkg,Cal_kcalmin,RespRate_bpm,ZeroOffset_Pa,ErrorCount
85.3,0.0,21.21,21.21,998.1,24.8,0.0,0.0,0.0,0.0,0.0,0.086,0
100.6,0.0,21.21,21.21,998.1,24.8,0.0,0.0,0.0,0.0,0.0,0.086,0
115.9,0.0,21.21,21.21,998.1,24.8,0.0,0.0,0.0,0.0,0.0,0.086,0
131.2,1.064,18.18,21.21,998.1,24.8,4.18,0.0344,0.5,0.17,31.7,0.086,0
146.5,0.0,17.65,21.21,998.1,24.8,17.61,0.6556,8.7,3.19,28.7,0.086,0
161.8,2.01,18.25,21.21,998.1,24.8,20.19,0.647,8.6,3.14,31.7,0.086,0
177.1,2.189,18.49,21.21,998.1,24.8,20.09,0.5719,7.6,2.78,31.7,0.086,0
192.4,3.027,18.63,21.21,998.1,24.9,19.14,0.5027,6.7,2.44,31.7,0.086,0
207.7,3.602,18.59,21.21,998.1,24.9,20.1,0.5264,7.0,2.56,37.7,0.086,0
223.0,0.0,18.69,21.21,998.1,24.9,18.85,0.4917,6.6,2.39,40.1,0.086,0
238.3,0.0,19.03,21.21,998.1,24.9,28.08,0.6969,9.3,3.39,40.2,0.086,0
253.6,0.0,18.69,21.21,998.1,25.0,2.6,0.0534,0.7,0.26,11.6,0.086,0
268.9,0.0,18.52,21.21,998.1,25.0,1.08,0.028,0.4,0.14,5.0,0.086,0
